id,name,name_en,year,mission,target_group,category,service_tags,impact_tags,enterprise_tags,products_services,esg_plans,website,email,facebook,instagram,location,districts,sdgs,see_mark_level,languages
SE-001,側聞聯繫有限公司,SideBySide,2014,透過創意產業培訓及聘用自閉症及殘疾青年,自閉症及殘疾青年（14-30歲）,創意產業,殘疾就業|青年就業|藝術文化,傷健共融|青年發展|社會創新,培訓工作坊|活動策劃|設計印刷,創意工作坊（平面設計、手工藝、動畫）|企業培訓活動策劃|藝術商品零售,企業團隊建立工作坊（包容文化培訓）|殘疾藝術家作品收藏與饋贈|員工志願服務體驗,https://sidebyside.org.hk,info@sidebyside.org.hk,@sidebysidehk,@sidebyside_hk,香港,灣仔|觀塘,SDG8|SDG10,創建級,粵語|英語
SE-002,香港復康力量,Hong Kong Rehabilitation Power,1995,推動傷健共融，幫助殘疾人士增加就業機會,肢體傷殘、視障、聽障、長期病患者、精神病康復者,復康服務,殘疾就業|視障人士|聽障人士|精神健康,傷健共融|就業培訓|社區共融,培訓工作坊|餐飲服務,活力店（醫院連鎖店）|就業培訓及轉介服務|無障礙旅遊顧問,企業無障礙工作環境顧問|殘疾就業計劃合作|傷健共融培訓工作坊,https://www.rehabpower.org.hk,,,,香港,沙田|葵青|黃大仙|離島,SDG8|SDG10,,粵語|英語
SE-003,保良局 ONE 社企,Po Leung Kuk ONE Social Enterprise,2005,每一個人都獨一無二，連結你我共融一心,殘疾人士、基層婦女、長者,餐飲零售,殘疾就業|婦女支援|長者服務,傷健共融|社區共融|就業培訓,禮品採購|餐飲服務|員工活動,烘焙食品（餅店、網購）|餐飲服務|手工藝品|長者護理服務,企業節慶禮品採購（曲奇、月餅）|員工團隊活動（手工藝工作坊）|弱勢就業資助計劃,https://www.poleungkuk.org.hk,,,,香港,全港各區,SDG8|SDG10,創進級,粵語|英語
SE-004,香港盲人輔導會 盲人工廠,Hong Kong Society for the Blind — Forward Factory,1963,為視障及殘疾人士提供多元化工作訓練，達致自力更新,視障人士、殘疾人士,工業服務,殘疾就業|視障人士,傷健共融|就業培訓|自力更生,洗衣服務|清潔服務,洗衣服務|清潔服務|紙品包裝|手工藝品,企業洗衣服務外判|環保紙品採購|殘疾就業支援捐贈,https://www.hksb.org.hk,,,,香港,觀塘,SDG8|SDG10,,粵語
SE-005,明途聯繫有限公司,MindT Link,2003,為精神病康復者創造具尊嚴的就業機會,精神病康復者、智障人士,零售餐飲,殘疾就業|精神健康|智障人士,精神康復|傷健共融|就業培訓,餐飲服務|禮品採購,卓思廊復康用品專賣店|便利店業務|餐飲業務（復康餐廳）|復康用品網購,企業健康計劃合作（心理健康工作坊）|員工復康用品福利|節慶禮品採購,https://www.mhahk.org.hk,,,,香港,全港各區,SDG3|SDG8,創越級,粵語|英語
SE-006,聖雅各福群會 社企服務,St. James' Settlement Social Enterprise,1949,為弱勢社群提供持續發展的就業機會,青少年、長者、低收入家庭、殘疾人士,綜合服務,青年就業|長者服務|基層家庭|殘疾就業,社區共融|就業培訓|扶貧脫困,餐飲服務|培訓工作坊|員工活動,社區餐廳及咖啡店|烘焙及食品製作|社區回收及環保服務|藝術治療工作坊,企業ESG活動合作|社區扶貧計劃捐贈|環保回收計劃參與,https://www.sjs.org.hk,,,,香港,灣仔|中西區|東區,SDG8|SDG11,創越級,粵語|英語
SE-007,香港紅十字會 社企項目,Hong Kong Red Cross Social Enterprise,1950,以人道主義精神為弱勢社群提供就業訓練,殘疾人士、弱勢家庭、受災群眾,人道服務,殘疾就業|基層家庭,傷健共融|人道支援|社區共融,禮品採購|培訓工作坊,手工藝品零售|救災物資包裝|急救培訓服務,企業救災捐款配對|人道主義培訓工作坊|志願服務團體參與,https://www.redcross.org.hk,,,,香港,全港各區,SDG3|SDG10,,粵語|英語
SE-008,鄰舍輔導會 社企服務,The Neighbourhood Advice-Action Council Enterprise,1968,助鄰扶老，服務社群，促進社區共融,長者、青少年、基層家庭、殘疾人士,社會服務,長者服務|青年就業|基層家庭|殘疾就業,長者關懷|社區共融|家庭支援,清潔服務|培訓工作坊,長者護理及家居服務|社區教育服務|環保清潔服務|手工藝品,企業長者關懷計劃|社區服務日志願活動|ESG報告社區參與指標,https://www.naac.org.hk,,,,香港,全港各區,SDG3|SDG11,,粵語
SE-009,扶康會 社企服務,Fu Hong Society Social Enterprise,1977,為智障及肢體傷殘人士提供優質康復及就業服務,智障人士、肢體傷殘人士、精神康復者,復康服務,殘疾就業|智障人士|精神健康,傷健共融|就業培訓|精神康復,餐飲服務|洗衣服務|清潔服務,餐飲服務（扶康餐廳）|洗衣服務|清潔服務|手工藝品,企業團體膳食服務|殘疾就業計劃合作|節慶禮品採購,https://www.fuhong.org.hk,,,,香港,全港各區,SDG3|SDG8,創進級,粵語|英語
SE-010,環保探索有限公司,Eco Explorer Ltd,2010,透過環保教育及體驗，推動可持續生活方式,學校、企業、社區團體,環保教育,,環保減廢|可持續發展|社會創新,培訓工作坊|員工活動,環保教育課程及工作坊|企業可持續發展培訓|環保產品零售|升級再造工作坊,企業ESG培訓工作坊|減碳及可持續發展顧問|環保團隊建立活動,https://www.ecoexplorer.hk,,,,香港,,SDG12|SDG13,,粵語|英語
